region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs;significant
CBA;Temp;Spatially adjusted;0,979796;;SF[e];0,162809267169511;0,132113898530234;0,202575103690708;30;TRUE
CBA;Temp;Spatially adjusted;0,979796;;SF[i];0,10798164839509;0,0790138302593717;0,129063587388728;30;TRUE
CBA;Temp;Spatially adjusted;0,979796;;SF[a];0,131365509057387;0,0988704563063957;0,148169421416328;30;TRUE
CBA;Temp;Spatially adjusted;1;;SF[e];0,157618274249564;0,123295340020297;0,20365302674054;30;TRUE
CBA;Temp;Spatially adjusted;1;;SF[i];0,101821491284467;0,0702200801140877;0,125925217003006;30;TRUE
CBA;Temp;Spatially adjusted;1;;SF[a];0,125924090383599;0,0899074551458739;0,145089391674733;30;TRUE
CBA;Temp;Current landscape;1;0–5;SF[e];0,141172277317527;-0,063855166253265;0,305058076304336;30;FALSE
CBA;Temp;Current landscape;1;0–5;SF[i];0,114778526335748;-0,156419135903309;0,298331636539754;30;FALSE
CBA;Temp;Current landscape;1;0–5;SF[a];-0,0021143062089184;-0,333615647538647;0,202737078154991;30;FALSE
CBA;Temp;Current landscape;2;5–10;SF[e];0,143710526515593;-0,0119304009640306;0,305695602682549;30;FALSE
CBA;Temp;Current landscape;2;5–10;SF[i];0,0615373067902372;-0,116207669822095;0,255093828913102;30;FALSE
CBA;Temp;Current landscape;2;5–10;SF[a];-0,168693885324327;-0,309742045122942;0,122460181148495;30;FALSE
CBA;Temp;Current landscape;3;10–15;SF[e];0,0949635099271884;-0,0242538050450504;0,292003209804245;30;FALSE
CBA;Temp;Current landscape;3;10–15;SF[i];0,0130853872164334;-0,133844819449984;0,218244386637856;30;FALSE
CBA;Temp;Current landscape;3;10–15;SF[a];-0,193012773486244;-0,359613223873;0,021513551505811;30;FALSE
CBA;Temp;Current landscape;4;15–20;SF[e];0,0630529710705243;-0,0901562220773958;0,141819091860139;30;FALSE
CBA;Temp;Current landscape;4;15–20;SF[i];-0,0395206936714771;-0,168152955402152;0,0663576174186154;30;FALSE
CBA;Temp;Current landscape;4;15–20;SF[a];-0,293540132693428;-0,443470721354906;-0,183386164674384;30;TRUE
CBA;Temp;Current landscape;5;20–25;SF[e];-0,0413687808435839;-0,15479161228568;0,0666126988980087;30;FALSE
CBA;Temp;Current landscape;5;20–25;SF[i];-0,0866285261593145;-0,188827831869229;0,0218244872461607;30;FALSE
CBA;Temp;Current landscape;5;20–25;SF[a];-0,325371282492295;-0,44150624837842;-0,226567311647811;30;TRUE
CBA;Temp;Current landscape;6;25–30;SF[e];-0,0101725027579125;-0,174146234311642;0,122605389980447;30;FALSE
CBA;Temp;Current landscape;6;25–30;SF[i];-0,0687354112766201;-0,182414557665972;0,0237931899779643;30;FALSE
CBA;Temp;Current landscape;6;25–30;SF[a];-0,336244737482005;-0,458752312538453;-0,214575671549229;30;TRUE
CBA;Temp;Current landscape;7;30–35;SF[e];-0,0702305918218827;-0,154203781450262;0,0344333284782844;30;FALSE
CBA;Temp;Current landscape;7;30–35;SF[i];-0,147038359935338;-0,244437569602894;-0,0387386666478703;30;TRUE
