contrast,cover_value,n_runs,median,lower,upper,cover_label
PF − SF[a],0.5,9,8.2252945614664,7.47941832209244,9.84004308269368,50% forest cover
PF − SF[a],0.5,10,8.40381392597533,7.40595345764385,9.72982932837067,50% forest cover
PF − SF[a],0.5,11,8.38455671101952,7.52764222392803,9.7888572146914,50% forest cover
PF − SF[a],0.5,12,8.44050657898913,7.44197804314376,9.73192844315179,50% forest cover
PF − SF[a],0.5,13,8.2252945614664,7.47941832209244,9.7875447565375,50% forest cover
PF − SF[a],0.5,14,8.42124936403332,7.51448211108946,9.57979725786527,50% forest cover
PF − SF[a],0.5,15,8.54381886057263,7.55007582741609,9.61961557404766,50% forest cover
PF − SF[a],0.5,16,8.38455671101952,7.71960679667905,9.57979725786527,50% forest cover
PF − SF[a],0.5,17,8.2252945614664,7.55007582741609,9.61961557404766,50% forest cover
PF − SF[a],0.5,18,8.38455671101952,7.75447767279502,9.49583266662034,50% forest cover
PF − SF[a],0.5,19,8.2252945614664,7.889137765942,9.37204975919303,50% forest cover
PF − SF[a],0.5,20,8.38455671101952,7.92400864205797,9.34639285442592,50% forest cover
PF − SF[a],0.5,21,8.2252945614664,7.889137765942,9.37204975919303,50% forest cover
PF − SF[a],0.5,22,8.38455671101952,7.95071246052878,9.22051645414338,50% forest cover
PF − SF[a],0.5,23,8.2252945614664,7.95887951817394,9.06550655469164,50% forest cover
PF − SF[a],0.5,24,8.38455671101952,7.98626804993887,9.01125553530596,50% forest cover
PF − SF[a],0.5,25,8.54381886057263,8.0136565817038,9.06550655469164,50% forest cover
PF − SF[a],0.5,26,8.38455671101952,7.98626804993887,9.01125553530596,50% forest cover
PF − SF[a],0.5,27,8.54381886057263,8.0136565817038,8.95700451592029,50% forest cover
PF − SF[a],0.5,28,8.38455671101952,8.1194755715851,8.75041168824646,50% forest cover
PF − SF[a],0.5,29,8.54381886057263,8.2252945614664,8.54381886057263,50% forest cover
PF − SF[a],0.5,30,8.38455671101952,8.38455671101952,8.38455671101952,50% forest cover
PF − SF[a],0.75,2,5.69612878357805,2.39663919866077,9.14714652246628,75% forest cover
PF − SF[a],0.75,3,5.23400813191711,2.22508090006864,8.88071446493495,75% forest cover
PF − SF[a],0.75,4,5.67095710833678,2.82770086373369,8.63280056162434,75% forest cover
PF − SF[a],0.75,5,5.23400813191711,3.16652706835566,8.65332006185781,75% forest cover
PF − SF[a],0.75,6,5.4308842009209,3.31244321687715,8.29475249202078,75% forest cover
PF − SF[a],0.75,7,5.46293860030983,3.20650064514211,8.65332006185781,75% forest cover
PF − SF[a],0.75,8,5.34847336611347,3.31567217482916,8.24028799600508,75% forest cover
PF − SF[a],0.75,9,5.23400813191711,3.20650064514211,8.40677526320042,75% forest cover
PF − SF[a],0.75,10,5.38141188057011,3.39974833060889,8.20996940508737,75% forest cover
PF − SF[a],0.75,11,5.23400813191711,3.51483448629687,7.76661874831692,75% forest cover
PF − SF[a],0.75,12,5.34847336611347,3.55607105005242,7.74569753663811,75% forest cover
PF − SF[a],0.75,13,5.46293860030983,3.59530347201877,7.72477632495929,75% forest cover
PF − SF[a],0.75,14,5.40342571135636,3.79984268714283,7.60314569196705,75% forest cover
PF − SF[a],0.75,15,5.46293860030983,3.59730761380797,7.57306544963922,75% forest cover
PF − SF[a],0.75,16,5.40993005134533,3.85221277803339,7.55197399427266,75% forest cover
PF − SF[a],0.75,17,5.46293860030983,4.09922829068182,7.57306544963922,75% forest cover
PF − SF[a],0.75,18,5.34847336611347,4.14325595225432,7.47611855661262,75% forest cover
PF − SF[a],0.75,19,5.46293860030983,4.18728361382682,7.37917166358602,75% forest cover
PF − SF[a],0.75,20,5.34847336611347,4.56905553897098,7.0898122892736,75% forest cover
PF − SF[a],0.75,21,5.23400813191711,4.18728361382682,7.37917166358602,75% forest cover
PF − SF[a],0.75,22,5.34847336611347,4.57015623051029,6.992865396247,75% forest cover
PF − SF[a],0.75,23,5.34847336611347,4.95302884719376,6.60655912890798,75% forest cover
PF − SF[a],0.75,24,5.34847336611347,5.06351637830216,6.11715969941634,75% forest cover
PF − SF[a],0.75,25,5.23400813191711,4.95302884719376,6.60655912890798,75% forest cover
PF − SF[a],0.75,26,5.34847336611347,5.07256433997986,6.11715969941634,75% forest cover
PF − SF[a],0.75,27,5.46293860030983,5.19209983276596,5.62776026992469,75% forest cover
PF − SF[a],0.75,28,5.34847336611347,5.21305398234154,5.54534943511726,75% forest cover
PF − SF[a],0.75,29,5.46293860030983,5.23400813191711,5.46293860030983,75% forest cover
PF − SF[a],0.75,30,5.34847336611347,5.34847336611347,5.34847336611347,75% forest cover
PF − SF[e],0.25,2,3.87027977857076,0.605482416766565,9.18652594191302,25% forest cover
PF − SF[e],0.25,3,3.53263208882208,0.798502595733385,9.92773517670821,25% forest cover
PF − SF[e],0.25,4,3.82900175010946,1.48237360653933,7.80219576197237,25% forest cover
PF − SF[e],0.25,5,3.61246094619173,1.26788746168495,6.94628008136949,25% forest cover
PF − SF[e],0.25,6,3.94840656083238,1.87135094985712,7.70866943209587,25% forest cover
PF − SF[e],0.25,7,3.61246094619173,1.58329755059503,6.90626616534155,25% forest cover
PF − SF[e],0.25,8,3.97400291825397,2.18737865054986,6.52451170069925,25% forest cover
PF − SF[e],0.25,9,3.61246094619173,2.16728960134196,6.1482463600592,25% forest cover
PF − SF[e],0.25,10,3.87766097371377,2.43422634922244,5.89892455350446,25% forest cover
PF − SF[e],0.25,11,3.61246094619173,2.96467296102946,5.67665634723653,25% forest cover
PF − SF[e],0.25,12,3.87766097371377,3.03473803045159,5.67209229556139,25% forest cover
PF − SF[e],0.25,13,3.61246094619173,2.96467296102946,5.67665634723653,25% forest cover
PF − SF[e],0.25,14,3.81445876506791,3.03473803045159,5.56932351870819,25% forest cover
PF − SF[e],0.25,15,3.61246094619173,3.10575573321694,5.48329754666793,25% forest cover
PF − SF[e],0.25,16,3.7387473526835,3.19938070708208,5.17857605109548,25% forest cover
PF − SF[e],0.25,17,3.61246094619173,3.29337263981961,5.48329754666793,25% forest cover
PF − SF[e],0.25,18,3.7387473526835,3.19956418651828,5.08253091321899,25% forest cover
PF − SF[e],0.25,19,3.7387473526835,3.29337263981961,4.7018026114425,25% forest cover
PF − SF[e],0.25,20,3.7387473526835,3.19956418651828,5.08253091321899,25% forest cover
PF − SF[e],0.25,21,3.86503375917528,3.29337263981961,4.68176427977005,25% forest cover
PF − SF[e],0.25,22,3.7387473526835,3.35657484846547,4.61700602338601,25% forest cover
PF − SF[e],0.25,23,3.61246094619173,3.41661694667904,4.55224776700197,25% forest cover
PF − SF[e],0.25,24,3.7387473526835,3.35657484846547,4.50865458504313,25% forest cover
PF − SF[e],0.25,25,3.86503375917528,3.41977705711133,4.55224776700197,25% forest cover
PF − SF[e],0.25,26,3.7387473526835,3.47620457296671,4.44389632865909,25% forest cover
PF − SF[e],0.25,27,3.86503375917528,3.53263208882208,4.33554489031621,25% forest cover
PF − SF[e],0.25,28,3.7387473526835,3.57254651750691,4.10028932474575,25% forest cover
PF − SF[e],0.25,29,3.86503375917528,3.61246094619173,3.86503375917528,25% forest cover
PF − SF[e],0.25,30,3.7387473526835,3.7387473526835,3.7387473526835,25% forest cover
PF − SF[e],0.5,2,4.10297273035701,0.529762936726496,8.5533629729111,50% forest cover
PF − SF[e],0.5,3,3.64145373935071,0.684443251398534,8.27752321088656,50% forest cover
PF − SF[e],0.5,4,3.68457228127954,0.979030721160467,7.74301219019103,50% forest cover
PF − SF[e],0.5,5,3.64145373935071,0.926767370235211,7.81627634531787,50% forest cover
PF − SF[e],0.5,6,3.80315442927145,1.14954307569523,6.99698036898737,50% forest cover
PF − SF[e],0.5,7,3.64145373935071,1.03735217505664,6.36495299940052,50% forest cover
PF − SF[e],0.5,8,3.63015248222405,1.82901949747893,6.14951762694521,50% forest cover
PF − SF[e],0.5,9,3.64145373935071,1.82976186617649,6.23478633807645,50% forest cover
PF − SF[e],0.5,10,3.63015248222405,1.75063388140494,5.76294817961905,50% forest cover
PF − SF[e],0.5,11,3.64145373935071,1.84425579616936,5.95324107069064,50% forest cover
PF − SF[e],0.5,12,3.75895806652693,2.1540856919613,5.54896967797996,50% forest cover
PF − SF[e],0.5,13,3.64145373935071,2.40762461907616,5.29088481865165,50% forest cover
PF − SF[e],0.5,14,3.75895806652693,2.42944967221397,5.23888662065656,50% forest cover
PF − SF[e],0.5,15,3.87646239370315,2.46535894592444,5.18948833256123,50% forest cover
PF − SF[e],0.5,16,3.75895806652693,2.50531539075382,5.23888662065656,50% forest cover
PF − SF[e],0.5,17,3.64145373935071,2.46535894592444,5.18688842266147,50% forest cover
PF − SF[e],0.5,18,3.75895806652693,2.5359472620819,5.16391916763996,50% forest cover
PF − SF[e],0.5,19,3.64145373935071,2.60653557823935,5.14094991261845,50% forest cover
PF − SF[e],0.5,20,3.75895806652693,2.77574674867197,4.77207763958291,50% forest cover
PF − SF[e],0.5,21,3.87646239370315,2.94495791910458,5.14094991261845,50% forest cover
PF − SF[e],0.5,22,3.75895806652693,2.77574674867197,4.7491083845614,50% forest cover
PF − SF[e],0.5,23,3.87646239370315,2.94495791910458,4.35726685650434,50% forest cover
PF − SF[e],0.5,24,3.75895806652693,2.90085879113703,4.51098421021746,50% forest cover
PF − SF[e],0.5,25,3.87646239370315,2.94495791910458,4.35726685650434,50% forest cover
PF − SF[e],0.5,26,3.75895806652693,3.0732779626585,4.20798690737002,50% forest cover
PF − SF[e],0.5,27,3.87646239370315,3.20159800621241,4.05870695823569,50% forest cover
PF − SF[e],0.5,28,3.75895806652693,3.42152587278156,3.96758467596942,50% forest cover
PF − SF[e],0.5,29,3.87646239370315,3.64145373935071,3.87646239370315,50% forest cover
PF − SF[e],0.5,30,3.75895806652693,3.75895806652693,3.75895806652693,50% forest cover
PF − SF[e],0.75,2,6.98677288739475,3.93141134330712,10.9004215435136,75% forest cover
PF − SF[e],0.75,3,6.3933878392636,4.41531865645811,9.74076903860805,75% forest cover
PF − SF[e],0.75,4,7.00835952266141,4.69917262634681,9.51698941283153,75% forest cover
PF − SF[e],0.75,5,6.49020788602502,4.9830265962355,9.62420870635469,75% forest cover
PF − SF[e],0.75,6,7.00239696138522,5.22895732811322,9.1059523492016,75% forest cover
PF − SF[e],0.75,7,6.3933878392636,5.4736201095343,9.21620227092717,75% forest cover
PF − SF[e],0.75,8,6.98696504430006,5.31072424906222,8.8137447041876,75% forest cover
PF − SF[e],0.75,9,6.3933878392636,5.49525983347481,9.21620227092717,75% forest cover
PF − SF[e],0.75,10,6.95398195613939,5.78358070172656,8.81135006551699,75% forest cover
PF − SF[e],0.75,11,6.44179786264431,5.49581469819123,8.91538908230723,75% forest cover
PF − SF[e],0.75,12,6.63196358850633,5.84713315560276,8.58511860161441,75% forest cover
PF − SF[e],0.75,13,6.3933878392636,5.63718565019372,8.40649786010681,75% forest cover
PF − SF[e],0.75,14,6.97579052811125,5.85454361008602,8.33508990336626,75% forest cover
PF − SF[e],0.75,15,6.44179786264431,6.0610336719837,8.40649786010681,75% forest cover
PF − SF[e],0.75,16,6.97579052811125,5.91944106805318,8.08961283596052,75% forest cover
PF − SF[e],0.75,17,6.49020788602502,6.07190156997831,8.25095966607069,75% forest cover
PF − SF[e],0.75,18,6.44179786264431,6.13679902794548,8.08766860853507,75% forest cover
PF − SF[e],0.75,19,6.3933878392636,6.20169648591264,7.92437755099945,75% forest cover
PF − SF[e],0.75,20,6.44179786264431,6.1968312616473,7.83099741133619,75% forest cover
PF − SF[e],0.75,21,6.49020788602502,6.20169648591264,7.92437755099945,75% forest cover
PF − SF[e],0.75,22,6.44179786264431,6.24145943568624,7.82823194505136,75% forest cover
PF − SF[e],0.75,23,6.49020788602502,6.28122238545984,7.73208633910326,75% forest cover
PF − SF[e],0.75,24,6.44179786264431,6.24145943568624,7.6794139329611,75% forest cover
PF − SF[e],0.75,25,6.3933878392636,6.28122238545984,7.73208633910326,75% forest cover
PF − SF[e],0.75,26,6.44179786264431,6.3030309574317,7.6794139329611,75% forest cover
PF − SF[e],0.75,27,6.3933878392636,6.32483952940356,7.62674152681893,75% forest cover
PF − SF[e],0.75,28,6.44179786264431,6.35911368433358,7.05847470642198,75% forest cover
PF − SF[e],0.75,29,6.44179786264431,6.3933878392636,6.49020788602502,75% forest cover
PF − SF[e],0.75,30,6.44179786264431,6.44179786264431,6.44179786264431,75% forest cover
PF − SF[i],0.25,2,-3.63334248085687,-6.72956848004098,0.455780679208408,25% forest cover
PF − SF[i],0.25,3,-4.04297971444976,-6.29470488017159,0.225362850009594,25% forest cover
PF − SF[i],0.25,4,-3.73356604451442,-5.71487220836509,-0.00683304704190822,25% forest cover
PF − SF[i],0.25,5,-4.04297971444976,-5.57318838640224,-0.0643838499086752,25% forest cover
PF − SF[i],0.25,6,-3.78402422105387,-5.30762403769586,-0.253311632663423,25% forest cover
