permutation,n_runs,estimate,contrast,cover_value
11,24,3.47620457296671,PF − SF[e],0.25
11,25,3.53263208882208,PF − SF[e],0.25
11,26,3.57254651750691,PF − SF[e],0.25
11,27,3.61246094619173,PF − SF[e],0.25
11,28,3.7387473526835,PF − SF[e],0.25
11,29,3.86503375917528,PF − SF[e],0.25
11,30,3.7387473526835,PF − SF[e],0.25
12,2,2.94862202527361,PF − SF[e],0.25
12,3,2.79148831733028,PF − SF[e],0.25
12,4,2.94862202527361,PF − SF[e],0.25
12,5,3.10575573321694,PF − SF[e],0.25
12,6,2.94862202527361,PF − SF[e],0.25
12,7,2.79148831733028,PF − SF[e],0.25
12,8,2.94862202527361,PF − SF[e],0.25
12,9,3.10575573321694,PF − SF[e],0.25
12,10,3.72065031176658,PF − SF[e],0.25
12,11,4.33554489031621,PF − SF[e],0.25
12,12,4.50865458504313,PF − SF[e],0.25
12,13,4.68176427977005,PF − SF[e],0.25
12,14,4.50865458504313,PF − SF[e],0.25
12,15,4.33554489031621,PF − SF[e],0.25
12,16,3.97400291825397,PF − SF[e],0.25
12,17,3.61246094619173,PF − SF[e],0.25
12,18,3.97400291825397,PF − SF[e],0.25
12,19,4.33554489031621,PF − SF[e],0.25
12,20,3.97400291825397,PF − SF[e],0.25
12,21,3.86503375917528,PF − SF[e],0.25
12,22,3.7387473526835,PF − SF[e],0.25
12,23,3.61246094619173,PF − SF[e],0.25
12,24,3.57254651750691,PF − SF[e],0.25
12,25,3.61246094619173,PF − SF[e],0.25
12,26,3.7387473526835,PF − SF[e],0.25
12,27,3.61246094619173,PF − SF[e],0.25
12,28,3.7387473526835,PF − SF[e],0.25
12,29,3.61246094619173,PF − SF[e],0.25
12,30,3.7387473526835,PF − SF[e],0.25
13,2,8.71139709746942,PF − SF[e],0.25
13,3,5.65534949074845,PF − SF[e],0.25
13,4,5.56932351870819,PF − SF[e],0.25
13,5,5.48329754666793,PF − SF[e],0.25
13,6,5.01777265683495,PF − SF[e],0.25
13,7,4.55224776700197,PF − SF[e],0.25
13,8,4.20864076308863,PF − SF[e],0.25
13,9,3.86503375917528,PF − SF[e],0.25
13,10,4.20864076308863,PF − SF[e],0.25
13,11,4.55224776700197,PF − SF[e],0.25
13,12,5.01777265683495,PF − SF[e],0.25
13,13,4.55224776700197,PF − SF[e],0.25
13,14,5.01777265683495,PF − SF[e],0.25
13,15,5.48329754666793,PF − SF[e],0.25
13,16,5.01777265683495,PF − SF[e],0.25
13,17,4.55224776700197,PF − SF[e],0.25
13,18,4.44389632865909,PF − SF[e],0.25
13,19,4.33554489031621,PF − SF[e],0.25
13,20,4.10028932474575,PF − SF[e],0.25
13,21,3.86503375917528,PF − SF[e],0.25
13,22,4.10028932474575,PF − SF[e],0.25
13,23,4.33554489031621,PF − SF[e],0.25
13,24,4.10028932474575,PF − SF[e],0.25
13,25,3.86503375917528,PF − SF[e],0.25
13,26,4.10028932474575,PF − SF[e],0.25
13,27,3.86503375917528,PF − SF[e],0.25
13,28,3.7387473526835,PF − SF[e],0.25
13,29,3.61246094619173,PF − SF[e],0.25
13,30,3.7387473526835,PF − SF[e],0.25
14,2,8.15005227245888,PF − SF[e],0.25
14,3,6.37236936820955,PF − SF[e],0.25
14,4,8.15005227245888,PF − SF[e],0.25
14,5,6.37236936820955,PF − SF[e],0.25
14,6,5.35395712926288,PF − SF[e],0.25
14,7,4.33554489031621,PF − SF[e],0.25
14,8,4.99544719053233,PF − SF[e],0.25
14,9,4.33554489031621,PF − SF[e],0.25
14,10,4.10028932474575,PF − SF[e],0.25
14,11,4.33554489031621,PF − SF[e],0.25
14,12,4.44389632865909,PF − SF[e],0.25
14,13,4.55224776700197,PF − SF[e],0.25
14,14,4.44389632865909,PF − SF[e],0.25
14,15,4.33554489031621,PF − SF[e],0.25
14,16,4.10028932474575,PF − SF[e],0.25
14,17,3.86503375917528,PF − SF[e],0.25
14,18,4.10028932474575,PF − SF[e],0.25
14,19,3.86503375917528,PF − SF[e],0.25
14,20,3.7387473526835,PF − SF[e],0.25
14,21,3.86503375917528,PF − SF[e],0.25
14,22,3.7387473526835,PF − SF[e],0.25
14,23,3.86503375917528,PF − SF[e],0.25
14,24,4.10028932474575,PF − SF[e],0.25
14,25,4.33554489031621,PF − SF[e],0.25
14,26,4.10028932474575,PF − SF[e],0.25
14,27,3.86503375917528,PF − SF[e],0.25
14,28,4.10028932474575,PF − SF[e],0.25
14,29,3.86503375917528,PF − SF[e],0.25
14,30,3.7387473526835,PF − SF[e],0.25
15,2,6.66517579026572,PF − SF[e],0.25
15,3,3.86503375917528,PF − SF[e],0.25
15,4,3.69883292399868,PF − SF[e],0.25
15,5,3.53263208882208,PF − SF[e],0.25
15,6,3.47620457296671,PF − SF[e],0.25
15,7,3.53263208882208,PF − SF[e],0.25
15,8,3.69883292399868,PF − SF[e],0.25
15,9,3.61246094619173,PF − SF[e],0.25
15,10,3.57254651750691,PF − SF[e],0.25
15,11,3.53263208882208,PF − SF[e],0.25
15,12,3.57254651750691,PF − SF[e],0.25
15,13,3.53263208882208,PF − SF[e],0.25
15,14,3.47620457296671,PF − SF[e],0.25
15,15,3.53263208882208,PF − SF[e],0.25
15,16,3.57254651750691,PF − SF[e],0.25
15,17,3.53263208882208,PF − SF[e],0.25
15,18,3.47620457296671,PF − SF[e],0.25
15,19,3.53263208882208,PF − SF[e],0.25
15,20,3.57254651750691,PF − SF[e],0.25
15,21,3.61246094619173,PF − SF[e],0.25
15,22,3.57254651750691,PF − SF[e],0.25
15,23,3.53263208882208,PF − SF[e],0.25
15,24,3.57254651750691,PF − SF[e],0.25
15,25,3.61246094619173,PF − SF[e],0.25
15,26,3.57254651750691,PF − SF[e],0.25
15,27,3.53263208882208,PF − SF[e],0.25
15,28,3.57254651750691,PF − SF[e],0.25
15,29,3.61246094619173,PF − SF[e],0.25
15,30,3.7387473526835,PF − SF[e],0.25
16,2,7.49794335508589,PF − SF[e],0.25
16,3,3.86503375917528,PF − SF[e],0.25
16,4,3.48539474619611,PF − SF[e],0.25
16,5,3.10575573321694,PF − SF[e],0.25
16,6,3.19956418651828,PF − SF[e],0.25
16,7,3.29337263981961,PF − SF[e],0.25
16,8,3.19956418651828,PF − SF[e],0.25
16,9,3.29337263981961,PF − SF[e],0.25
16,10,3.57920319949745,PF − SF[e],0.25
16,11,3.29337263981961,PF − SF[e],0.25
16,12,3.19956418651828,PF − SF[e],0.25
16,13,3.29337263981961,PF − SF[e],0.25
16,14,3.35657484846547,PF − SF[e],0.25
16,15,3.29337263981961,PF − SF[e],0.25
16,16,3.35657484846547,PF − SF[e],0.25
16,17,3.41977705711133,PF − SF[e],0.25
16,18,3.64240540814331,PF − SF[e],0.25
16,19,3.86503375917528,PF − SF[e],0.25
16,20,3.7387473526835,PF − SF[e],0.25
16,21,3.86503375917528,PF − SF[e],0.25
16,22,4.20864076308863,PF − SF[e],0.25
16,23,3.86503375917528,PF − SF[e],0.25
16,24,4.20864076308863,PF − SF[e],0.25
16,25,4.55224776700197,PF − SF[e],0.25
16,26,4.20864076308863,PF − SF[e],0.25
16,27,3.86503375917528,PF − SF[e],0.25
16,28,4.10028932474575,PF − SF[e],0.25
16,29,3.86503375917528,PF − SF[e],0.25
16,30,3.7387473526835,PF − SF[e],0.25
17,2,4.53677788334176,PF − SF[e],0.25
17,3,4.55224776700197,PF − SF[e],0.25
17,4,5.72925696617176,PF − SF[e],0.25
17,5,4.55224776700197,PF − SF[e],0.25
17,6,5.72925696617176,PF − SF[e],0.25
17,7,6.90626616534155,PF − SF[e],0.25
17,8,6.63931776677555,PF − SF[e],0.25
