response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,3,18,3.35657484846547,PF - SF[e],0.25,25% cover,3.7387473526835,-0.382172504218035
Prec,Precipitation,mm,3,19,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,20,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,3,21,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,3,22,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,3,23,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,3,24,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,3,25,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,3,26,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,3,27,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,3,28,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,3,29,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,3,30,3.7387473526835,PF - SF[e],0.25,25% cover,3.7387473526835,0
Prec,Precipitation,mm,4,2,6.63931776677555,PF - SF[e],0.25,25% cover,3.7387473526835,2.90057041409205
Prec,Precipitation,mm,4,3,6.90626616534155,PF - SF[e],0.25,25% cover,3.7387473526835,3.16751881265805
Prec,Precipitation,mm,4,4,6.63931776677555,PF - SF[e],0.25,25% cover,3.7387473526835,2.90057041409205
Prec,Precipitation,mm,4,5,6.37236936820955,PF - SF[e],0.25,25% cover,3.7387473526835,2.63362201552605
Prec,Precipitation,mm,4,6,5.46230856760576,PF - SF[e],0.25,25% cover,3.7387473526835,1.72356121492226
Prec,Precipitation,mm,4,7,4.68176427977005,PF - SF[e],0.25,25% cover,3.7387473526835,0.943016927086545
Prec,Precipitation,mm,4,8,4.61700602338601,PF - SF[e],0.25,25% cover,3.7387473526835,0.878258670702505
Prec,Precipitation,mm,4,9,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,4,10,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
Prec,Precipitation,mm,4,11,4.55224776700197,PF - SF[e],0.25,25% cover,3.7387473526835,0.813500414318465
Prec,Precipitation,mm,4,12,4.44389632865909,PF - SF[e],0.25,25% cover,3.7387473526835,0.705148975975585
