response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,4,6,-5.9335671755639,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.264210650943141
Prec,Precipitation,mm,4,7,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,8,-5.988020977931,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.318664453310245
Prec,Precipitation,mm,4,9,-6.3399950765297,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.670638551908946
Prec,Precipitation,mm,4,10,-5.988020977931,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.318664453310245
Prec,Precipitation,mm,4,11,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,12,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,13,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,4,14,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,15,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,16,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,4,17,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,18,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,19,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,20,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,4,21,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,22,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,23,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,4,24,-5.56446834936947,PF - SF[e],0.25,25% cover,-5.66935652462075,0.10488817525129
Prec,Precipitation,mm,4,25,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,4,26,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,27,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,28,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,4,29,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,4,30,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
