response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[a],0.75,75% cover,17,-0.0290065994509945,-2.835182178061,2.190836925281
Evapo,ET,mm,PF - SF[a],0.75,75% cover,18,0,-2.20038189906451,2.1520025076845
Evapo,ET,mm,PF - SF[a],0.75,75% cover,19,-0.0290065994509945,-1.565581620068,2.113168090088
Evapo,ET,mm,PF - SF[a],0.75,75% cover,20,0,-1.6444009716685,2.1520025076845
Evapo,ET,mm,PF - SF[a],0.75,75% cover,21,0.0290065994509945,-1.565581620068,2.113168090088
Evapo,ET,mm,PF - SF[a],0.75,75% cover,22,0,-0.817316957301495,1.627104589052
Evapo,ET,mm,PF - SF[a],0.75,75% cover,23,0.0290065994509945,-0.453619765276002,1.141041088016
Evapo,ET,mm,PF - SF[a],0.75,75% cover,24,0,-0.797671422143331,1.1281594483619
Evapo,ET,mm,PF - SF[a],0.75,75% cover,25,0.0290065994509945,-0.059191590156999,1.141041088016
Evapo,ET,mm,PF - SF[a],0.75,75% cover,26,0,-0.256405677716501,1.11536598321599
Evapo,ET,mm,PF - SF[a],0.75,75% cover,27,0.0290065994509945,-0.059191590156999,1.08969087841599
Evapo,ET,mm,PF - SF[a],0.75,75% cover,28,0,-0.0440990948039968,0.559348738933494
Evapo,ET,mm,PF - SF[a],0.75,75% cover,29,0,-0.0290065994509945,0.0290065994509945
Evapo,ET,mm,PF - SF[a],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.25,25% cover,2,-0.193051187416771,-3.93503403501092,4.6321429050123
Evapo,ET,mm,PF - SF[e],0.25,25% cover,3,0.0532931599499449,-3.06629485849627,4.71292549719975
Evapo,ET,mm,PF - SF[e],0.25,25% cover,4,-0.198906492081051,-2.86934892880583,3.33443037928218
Evapo,ET,mm,PF - SF[e],0.25,25% cover,5,0.0532931599499449,-2.69101951296754,2.73662718094294
Evapo,ET,mm,PF - SF[e],0.25,25% cover,6,-0.0563284564625945,-2.29866748333636,2.62311121449633
Evapo,ET,mm,PF - SF[e],0.25,25% cover,7,0.0532931599499449,-2.67003522572685,2.4331731998092
Evapo,ET,mm,PF - SF[e],0.25,25% cover,8,-0.0702670052604475,-2.11246723606366,1.9272394240565
Evapo,ET,mm,PF - SF[e],0.25,25% cover,9,0.0532931599499449,-2.67003522572685,2.29564346022185
Evapo,ET,mm,PF - SF[e],0.25,25% cover,10,-0.134586748670749,-1.99402447986309,1.9272394240565
Evapo,ET,mm,PF - SF[e],0.25,25% cover,11,0.0532931599499449,-1.66701843474935,2.29564346022185
Evapo,ET,mm,PF - SF[e],0.25,25% cover,12,-0.313649202780397,-1.93685790677185,1.8612208775324
Evapo,ET,mm,PF - SF[e],0.25,25% cover,13,0.0532931599499449,-1.53104010817646,1.42679829484295
Evapo,ET,mm,PF - SF[e],0.25,25% cover,14,-0.300614119735698,-1.43671039792636,1.50205746194536
Evapo,ET,mm,PF - SF[e],0.25,25% cover,15,0,-1.31801373399934,1.19736247646202
Evapo,ET,mm,PF - SF[e],0.25,25% cover,16,-0.0351335026302237,-1.42179581372665,1.06763487925591
Evapo,ET,mm,PF - SF[e],0.25,25% cover,17,0.0532931599499449,-1.31255151927685,0.888297256515278
Evapo,ET,mm,PF - SF[e],0.25,25% cover,18,0,-1.21063543530371,0.952126133826821
Evapo,ET,mm,PF - SF[e],0.25,25% cover,19,0.0532931599499449,-1.20368058781685,0.880523352662848
Evapo,ET,mm,PF - SF[e],0.25,25% cover,20,0,-1.20941798355389,0.949975485214395
Evapo,ET,mm,PF - SF[e],0.25,25% cover,21,0.0532931599499449,-1.20368058781685,0.880523352662848
Evapo,ET,mm,PF - SF[e],0.25,25% cover,22,0,-1.1549825178239,0.794497408165853
Evapo,ET,mm,PF - SF[e],0.25,25% cover,23,0.0532931599499449,-1.10628444783094,0.708471463668857
Evapo,ET,mm,PF - SF[e],0.25,25% cover,24,0,-0.977644961010355,0.794497408165853
Evapo,ET,mm,PF - SF[e],0.25,25% cover,25,0.0532931599499449,-1.10628444783094,0.708471463668857
Evapo,ET,mm,PF - SF[e],0.25,25% cover,26,0,-0.977644961010355,0.425114791531911
Evapo,ET,mm,PF - SF[e],0.25,25% cover,27,-0.0532931599499449,-0.849005474189752,0.14175811939495
Evapo,ET,mm,PF - SF[e],0.25,25% cover,28,0,-0.451149317069849,0.0975256396724546
Evapo,ET,mm,PF - SF[e],0.25,25% cover,29,0.0532931599499449,-0.0532931599499449,0.0532931599499449
Evapo,ET,mm,PF - SF[e],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.5,50% cover,2,-0.506860932624324,-3.28640391264931,3.11995159700184
Evapo,ET,mm,PF - SF[e],0.5,50% cover,3,-0.0302779790273497,-3.12218340045479,3.0836630849152
Evapo,ET,mm,PF - SF[e],0.5,50% cover,4,-0.0266445952898486,-2.75523064630819,2.38288015188431
Evapo,ET,mm,PF - SF[e],0.5,50% cover,5,-0.0302779790273497,-2.44505917546889,2.99184407198902
Evapo,ET,mm,PF - SF[e],0.5,50% cover,6,-0.0266445952898486,-2.28224834460279,1.81714606016159
Evapo,ET,mm,PF - SF[e],0.5,50% cover,7,0.0302779790273515,-2.44505917546889,1.38102147667595
Evapo,ET,mm,PF - SF[e],0.5,50% cover,8,-0.00663959423297467,-2.27365212920522,1.48288821808997
Evapo,ET,mm,PF - SF[e],0.5,50% cover,9,-0.0302779790273497,-1.81888541955625,1.3853406014996
Evapo,ET,mm,PF - SF[e],0.5,50% cover,10,-0.0228195529755482,-1.74224849763173,1.01920718815363
Evapo,ET,mm,PF - SF[e],0.5,50% cover,11,-0.0302779790273497,-1.45917622134668,1.38102147667595
Evapo,ET,mm,PF - SF[e],0.5,50% cover,12,0,-1.38558293790925,1.01173476250505
Evapo,ET,mm,PF - SF[e],0.5,50% cover,13,0.0302779790273515,-1.45239824417095,0.642448048334151
Evapo,ET,mm,PF - SF[e],0.5,50% cover,14,0,-1.2500233943947,0.561302147736205
Evapo,ET,mm,PF - SF[e],0.5,50% cover,15,-0.0302779790273497,-1.45239824417095,0.513677622957751
Evapo,ET,mm,PF - SF[e],0.5,50% cover,16,0,-1.1348303337661,0.550619281379801
Evapo,ET,mm,PF - SF[e],0.5,50% cover,17,-0.0302779790273497,-1.04764854461845,0.513677622957751
Evapo,ET,mm,PF - SF[e],0.5,50% cover,18,0,-1.0983715546121,0.496487173819551
Evapo,ET,mm,PF - SF[e],0.5,50% cover,19,-0.0302779790273497,-0.744344865053249,0.479296724681351
Evapo,ET,mm,PF - SF[e],0.5,50% cover,20,0,-0.79394227225405,0.402861301149503
Evapo,ET,mm,PF - SF[e],0.5,50% cover,21,-0.0302779790273497,-0.744344865053249,0.479296724681351
Evapo,ET,mm,PF - SF[e],0.5,50% cover,22,0,-0.642290432471448,0.38474731055075
Evapo,ET,mm,PF - SF[e],0.5,50% cover,23,-0.0302779790273497,-0.540235999889649,0.290197896420152
Evapo,ET,mm,PF - SF[e],0.5,50% cover,24,0,-0.310057414424206,0.30871623719235
Evapo,ET,mm,PF - SF[e],0.5,50% cover,25,-0.0302779790273497,-0.540235999889649,0.290197896420152
Evapo,ET,mm,PF - SF[e],0.5,50% cover,26,0,-0.308076542434049,0.214166823061751
Evapo,ET,mm,PF - SF[e],0.5,50% cover,27,-0.0302779790273497,-0.0759170849784496,0.13813574970335
Evapo,ET,mm,PF - SF[e],0.5,50% cover,28,0,-0.0530975320028997,0.0842068643653509
Evapo,ET,mm,PF - SF[e],0.5,50% cover,29,-0.0302779790273497,-0.0302779790273497,0.0302779790273515
Evapo,ET,mm,PF - SF[e],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.75,75% cover,2,-0.899994533760548,-6.0065384468108,6.5689238393033
Evapo,ET,mm,PF - SF[e],0.75,75% cover,3,0.502714857420401,-6.43770356383151,4.34933704207199
Evapo,ET,mm,PF - SF[e],0.75,75% cover,4,-0.0355160522812739,-5.56215052213717,3.7219932441077
Evapo,ET,mm,PF - SF[e],0.75,75% cover,5,0.502714857420401,-5.826683038141,3.66287976332251
Evapo,ET,mm,PF - SF[e],0.75,75% cover,6,-0.0279956942417527,-4.9830178876328,3.1991749060318
Evapo,ET,mm,PF - SF[e],0.75,75% cover,7,0.502714857420401,-5.68858428326438,2.73547004874111
Evapo,ET,mm,PF - SF[e],0.75,75% cover,8,-0.0083687048639689,-3.88403970492608,2.66789968123535
Evapo,ET,mm,PF - SF[e],0.75,75% cover,9,0.502714857420401,-3.8640645875916,2.73547004874111
Evapo,ET,mm,PF - SF[e],0.75,75% cover,10,0,-2.70937343262288,2.45025441018485
Evapo,ET,mm,PF - SF[e],0.75,75% cover,11,0.502714857420401,-1.895728975114,2.1650387716286
Evapo,ET,mm,PF - SF[e],0.75,75% cover,12,0,-2.70772633204125,1.91752886036794
Evapo,ET,mm,PF - SF[e],0.75,75% cover,13,0.502714857420401,-1.895728975114,1.6677194621752
Evapo,ET,mm,PF - SF[e],0.75,75% cover,14,0,-2.60409706664634,1.9018914259398
Evapo,ET,mm,PF - SF[e],0.75,75% cover,15,0.502714857420401,-1.6884704443242,1.65978959400664
Evapo,ET,mm,PF - SF[e],0.75,75% cover,16,0,-1.59063242455074,1.65296456372846
Evapo,ET,mm,PF - SF[e],0.75,75% cover,17,0.502714857420401,-1.6831561230219,1.63820966528171
Evapo,ET,mm,PF - SF[e],0.75,75% cover,18,0,-1.48124798864058,1.41373866381335
Evapo,ET,mm,PF - SF[e],0.75,75% cover,19,0.502714857420401,-1.27534048298659,1.189267662345
Evapo,ET,mm,PF - SF[e],0.75,75% cover,20,0,-1.47924830300425,0.898844366710545
Evapo,ET,mm,PF - SF[e],0.75,75% cover,21,0.502714857420401,-1.27534048298659,1.189267662345
Evapo,ET,mm,PF - SF[e],0.75,75% cover,22,0,-1.26029976690754,0.894443907873608
Evapo,ET,mm,PF - SF[e],0.75,75% cover,23,0.502714857420401,-1.24525905082849,0.599620153402199
