response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[e],0.75,75% cover,4,0.0208080843028284,-1.87981821156109,2.01832957292581
Evapo,ET,mm,PF - SF[e],0.75,75% cover,5,0.127263687009652,-1.52945353997394,1.66637051381056
Evapo,ET,mm,PF - SF[e],0.75,75% cover,6,-0.0416679375644407,-1.63946886757084,1.41676558049753
Evapo,ET,mm,PF - SF[e],0.75,75% cover,7,0.127263687009652,-1.50200809103964,1.54823403482325
Evapo,ET,mm,PF - SF[e],0.75,75% cover,8,0,-1.0685666438002,1.367200565282
Evapo,ET,mm,PF - SF[e],0.75,75% cover,9,-0.127263687009645,-0.834764458147092,1.18616709574076
Evapo,ET,mm,PF - SF[e],0.75,75% cover,10,0,-0.929258806298321,1.0317199862741
Evapo,ET,mm,PF - SF[e],0.75,75% cover,11,3.5527136788005e-15,-0.829277524971545,1.16263232250255
Evapo,ET,mm,PF - SF[e],0.75,75% cover,12,0,-0.69003007810088,0.91594806556541
Evapo,ET,mm,PF - SF[e],0.75,75% cover,13,-0.127263687009645,-0.829277524971545,0.893490741181658
Evapo,ET,mm,PF - SF[e],0.75,75% cover,14,0,-0.605023870881194,0.766735184022352
Evapo,ET,mm,PF - SF[e],0.75,75% cover,15,0.127263687009652,-0.636583341682921,0.893490741181658
Evapo,ET,mm,PF - SF[e],0.75,75% cover,16,0.00159330069515562,-0.605023870881194,0.766735184022352
Evapo,ET,mm,PF - SF[e],0.75,75% cover,17,0.127263687009652,-0.635125196560743,0.639979626863052
Evapo,ET,mm,PF - SF[e],0.75,75% cover,18,0,-0.507157183643986,0.585873944705875
Evapo,ET,mm,PF - SF[e],0.75,75% cover,19,0.127263687009652,-0.384165879878936,0.529208823416115
Evapo,ET,mm,PF - SF[e],0.75,75% cover,20,0,-0.469082784108245,0.431121499146582
Evapo,ET,mm,PF - SF[e],0.75,75% cover,21,0.127263687009652,-0.377731025605044,0.526368546404655
Evapo,ET,mm,PF - SF[e],0.75,75% cover,22,0,-0.340385698630399,0.424214019530808
Evapo,ET,mm,PF - SF[e],0.75,75% cover,23,-0.127263687009645,-0.303040371655747,0.322059492656955
Evapo,ET,mm,PF - SF[e],0.75,75% cover,24,0,-0.26024082934923,0.329251064277742
Evapo,ET,mm,PF - SF[e],0.75,75% cover,25,0.127263687009652,-0.303040371655747,0.322059492656955
Evapo,ET,mm,PF - SF[e],0.75,75% cover,26,0,-0.258185832700995,0.270881994591903
Evapo,ET,mm,PF - SF[e],0.75,75% cover,27,0.127263687009652,-0.213331293746244,0.219704496526859
Evapo,ET,mm,PF - SF[e],0.75,75% cover,28,0,-0.170297490377948,0.173484091768259
Evapo,ET,mm,PF - SF[e],0.75,75% cover,29,3.5527136788005e-15,-0.127263687009645,0.127263687009652
Evapo,ET,mm,PF - SF[e],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.25,25% cover,2,-0.331898284314098,-2.40589777893406,2.0059664892211
Evapo,ET,mm,PF - SF[i],0.25,25% cover,3,-0.06961081802595,-1.99530552944135,2.04683441775205
Evapo,ET,mm,PF - SF[i],0.25,25% cover,4,-0.182467602184147,-1.82753545996457,1.45900623633333
Evapo,ET,mm,PF - SF[i],0.25,25% cover,5,-0.06961081802595,-1.66814024609925,1.00197344431945
Evapo,ET,mm,PF - SF[i],0.25,25% cover,6,-0.198874253612651,-1.65451027835802,0.891891865418657
Evapo,ET,mm,PF - SF[i],0.25,25% cover,7,-0.06961081802595,-1.64030288833015,0.999722129307649
Evapo,ET,mm,PF - SF[i],0.25,25% cover,8,-0.120944516132802,-1.6518513340631,0.804614214529769
Evapo,ET,mm,PF - SF[i],0.25,25% cover,9,-0.06961081802595,-1.64030288833015,0.999722129307649
Evapo,ET,mm,PF - SF[i],0.25,25% cover,10,-0.0489907400522007,-1.58405433641635,0.557467475233678
Evapo,ET,mm,PF - SF[i],0.25,25% cover,11,-0.06961081802595,-1.52780578450255,0.43210343468645
Evapo,ET,mm,PF - SF[i],0.25,25% cover,12,-0.120944516132802,-1.39674705676235,0.396459827439483
Evapo,ET,mm,PF - SF[i],0.25,25% cover,13,-0.06961081802595,-1.52780578450255,0.330086958593252
Evapo,ET,mm,PF - SF[i],0.25,25% cover,14,-0.051333698106852,-1.21494712088325,0.360032229076813
Evapo,ET,mm,PF - SF[i],0.25,25% cover,15,-0.06961081802595,-1.14358572367385,0.330086958593252
Evapo,ET,mm,PF - SF[i],0.25,25% cover,16,-0.0291417002343977,-1.0228370904689,0.31029919698138
Evapo,ET,mm,PF - SF[i],0.25,25% cover,17,-0.06961081802595,-0.90208845726395,0.330086958593252
Evapo,ET,mm,PF - SF[i],0.25,25% cover,18,0,-0.732260955553944,0.308483914938854
Evapo,ET,mm,PF - SF[i],0.25,25% cover,19,0,-0.90208845726395,0.287961023467173
Evapo,ET,mm,PF - SF[i],0.25,25% cover,20,0,-0.713743727972748,0.296588622010824
Evapo,ET,mm,PF - SF[i],0.25,25% cover,21,-0.06961081802595,-0.55639340031485,0.286880871284453
Evapo,ET,mm,PF - SF[i],0.25,25% cover,22,0,-0.540896199498199,0.223672332798852
Evapo,ET,mm,PF - SF[i],0.25,25% cover,23,-0.06961081802595,-0.525398998681549,0.163624221237532
Evapo,ET,mm,PF - SF[i],0.25,25% cover,24,0,-0.349226036481016,0.201018704784432
Evapo,ET,mm,PF - SF[i],0.25,25% cover,25,0.06961081802595,-0.525398998681549,0.160463794313252
Evapo,ET,mm,PF - SF[i],0.25,25% cover,26,0,-0.3488386064606,0.137229304042052
Evapo,ET,mm,PF - SF[i],0.25,25% cover,27,-0.06961081802595,-0.17227821423965,0.113994813770852
Evapo,ET,mm,PF - SF[i],0.25,25% cover,28,0,-0.120944516132802,0.0918028158984008
Evapo,ET,mm,PF - SF[i],0.25,25% cover,29,0.06961081802595,-0.06961081802595,0.06961081802595
Evapo,ET,mm,PF - SF[i],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.5,50% cover,2,0.00366373983178248,-1.18921222295229,1.28897124581651
Evapo,ET,mm,PF - SF[i],0.5,50% cover,3,-0.11464326760597,-1.05281684912165,1.37405241208331
Evapo,ET,mm,PF - SF[i],0.5,50% cover,4,-0.0288303585372152,-0.836312993867549,1.05069910722444
Evapo,ET,mm,PF - SF[i],0.5,50% cover,5,-0.11464326760597,-0.76314187404432,0.81840366580378
Evapo,ET,mm,PF - SF[i],0.5,50% cover,6,-0.0642622518059852,-0.753886085154766,0.778276878375108
Evapo,ET,mm,PF - SF[i],0.5,50% cover,7,-0.11464326760597,-0.734216714348259,0.72734580236557
Evapo,ET,mm,PF - SF[i],0.5,50% cover,8,-0.0395856406832955,-0.641635061886043,0.673236297503398
Evapo,ET,mm,PF - SF[i],0.5,50% cover,9,-0.11464326760597,-0.652264509845875,0.72734580236557
Evapo,ET,mm,PF - SF[i],0.5,50% cover,10,0,-0.677096864682505,0.540858232459258
Evapo,ET,mm,PF - SF[i],0.5,50% cover,11,-0.11464326760597,-0.65016728200907,0.6140171292268
Evapo,ET,mm,PF - SF[i],0.5,50% cover,12,0.00532039101893478,-0.676953860997736,0.53691291307212
Evapo,ET,mm,PF - SF[i],0.5,50% cover,13,-0.11464326760597,-0.631763512813583,0.45980869691744
Evapo,ET,mm,PF - SF[i],0.5,50% cover,14,0,-0.625807419663892,0.40978204083786
Evapo,ET,mm,PF - SF[i],0.5,50% cover,15,-0.11464326760597,-0.620137333883739,0.35975538475828
Evapo,ET,mm,PF - SF[i],0.5,50% cover,16,-0.00967811005187746,-0.625571473904975,0.396650012900924
Evapo,ET,mm,PF - SF[i],0.5,50% cover,17,-0.11464326760597,-0.6198513265142,0.35975538475828
Evapo,ET,mm,PF - SF[i],0.5,50% cover,18,0,-0.554087379305891,0.357175466764626
Evapo,ET,mm,PF - SF[i],0.5,50% cover,19,-0.11464326760597,-0.6198513265142,0.35258376562706
